cuisine_id	category_name_en	cuisine_name_en	language_codes	osm_cuisine	emoji	type
AF	Asia > Other	Afghan	ps, fa-AF, en	afghan	🇦🇫	ethnic/national
AFRI.EAST.OTHER	African (Sub-Saharan)	Other (East African)	sw, en, fr			catchall
AFRI.PAN	African (Sub-Saharan)	Pan-African	en, fr, sw	african		panregional
AFRI.SOUTH.OTHER	African (Sub-Saharan)	Other (Southern African)	en, af, zu, ss			catchall
AFRI.WEST.OTHER	African (Sub-Saharan)	Other (West African)	en, fr, ha, yo, ig, ff, bm, kri			catchall
AMER.CARIBBEAN.OTHER	Americas > Caribbean	Other (Caribbean)	en, es, nl, fr			catchall
AMER.CARIBBEAN.PAN	Americas > Caribbean	Pan-Caribbean	en, es, nl, fr	caribbean		panregional
AMER.CENTRAL.OTHER	Americas > South & Central	Other (Central American)	es, en			catchall
AMER.LATIN.PAN	Americas > South & Central	Pan-Latin American	es, pt, en	latin_american		panregional
AMER.SOUTH.OTHER	Americas > South & Central	Other (South American)	es, pt			catchall
AR	Americas > South & Central	Argentinian	es	argentinian	🇦🇷	ethnic/national
ASIA.CENTRAL.OTHER	Asia > Other	Other (Central Asian)	kk, ky, tg, tk, uz			catchall
ASIA.EAST.PAN	Asia > East	Pan-East Asian	zh, ja, ko	oriental		panregional
ASIA.PAN	Asia > Other	Other (Asian)	zh, ja, ko, th, vi	asian		panregional
ASIA.SOUTH.INDIAN.PAN	Asia > South	Pan-Indian	en			panregional
ASIA.SOUTHCENTRAL.OTHER	Asia > Other	Other (South-Central Asian & Himalayan)	ne, hi, bn, pa, ur, ta, si, bo, ps			catchall
ASIA.SOUTHEAST.OTHER	Asia > Southeast	Other (Southeast Asian)	ms, km, id, lo, ms, my, en, th, vi			catchall
ASIA.SOUTHEAST.PAN	Asia > Southeast	Pan-Southeast Asian	ms, km, id, lo, ms, my, en, th, vi			panregional
AT	Europe > Central & West	Austrian	de	austrian	🇦🇹	ethnic/national
AUNZ	Oceanian	Australian & New Zealand	en	australian	🇦🇺🇳🇿	ethnic/national
BD	Asia > South	Bangladeshi	bn	bangladeshi	🇧🇩	ethnic/national
BE	Europe > Central & West	Belgian	nl, fr, de, en	belgian	🇧🇪	ethnic/national
BR	Americas > South & Central	Brazilian	pt	brazilian	🇧🇷	ethnic/national
CA	Americas > North	Canadian	en, fr		🇨🇦	ethnic/national
CH	Europe > Central & West	Swiss	gsw, fr, it	swiss	🇨🇭	ethnic/national
CN	Asia > East	Chinese	zh	chinese	🇨🇳	ethnic/national
CN.DIMSUM	Asia > East	Chinese > Dim Sum	zh-Hant, zh-Hans			style
CN.GD	Asia > East	Chinese > China > Cantonese	zh-Hans	cantonese	粤	subregional
CN.HOTPOT	Asia > East	Chinese > Hotpot	zh	hotpot		food
CN.SC	Asia > East	Chinese > China > Sichuan	zh-Hans		川	subregional
CN.SD	Asia > East	Chinese > China > Shandong	zh-Hans		鲁	subregional
CN.SH	Asia > East	Chinese > China > Shanghai	zh-Hans		沪	subregional
CO	Americas > South & Central	Colombian	es	colombian	🇨🇴	ethnic/national
CU	Americas > Caribbean	Cuban	es	cuban	🇨🇺	ethnic/national
CZ	Europe > Central & West	Czech	cs	czech	🇨🇿	ethnic/national
DE	Europe > Central & West	German	de	german	🇩🇪	ethnic/national
DK	Europe > Nordic & North Atlantic	Danish	da	danish	🇩🇰	ethnic/national
ES	Europe > Southern & Mediterranean	Spanish	es	spanish	🇪🇸	ethnic/national
ES.TAPAS	Europe > Southern & Mediterranean	Spanish > Tapas	es	tapas		style
ET	African (Sub-Saharan)	Ethiopian	am, en	ethiopian	🇪🇹	ethnic/national
EURO.EAST.CAUCASIAN.OTHER	Europe > Eastern & Caucasian	Other (Caucasian)	hy, az			catchall
EURO.EAST.OTHER	Europe > Eastern & Caucasian	Other (Eastern European)	et, lv, lt, be, bg, ro, ru, uk			catchall
EURO.NORDIC.NEW	Europe > Nordic & North Atlantic	New Nordic	da, fi, is, nb, sv			style
EURO.NORDIC.OTHER	Europe > Nordic & North Atlantic	Other (Nordic)	fi, is			catchall
EURO.NORDIC.SCANDINAVIAN.PAN	Europe > Nordic & North Atlantic	Pan-Scandinavian	da, nb, sv			panregional
EURO.PAN	Europe > Other	Pan-European	en	european		panregional
EURO.SOUTH.BALKAN.OTHER	Europe > Southern & Mediterranean	Other (Balkan)	sq, sr, hr, bs, bg, ro, el, tr, mk	balkan		catchall
EURO.SOUTH.PAN	Europe > Southern & Mediterranean	Pan-Mediterranean	ar, el, en, es, fr, he, hr, it, mk, pt, sl, tr	mediterranean		panregional
FR	Europe > Central & West	French	fr	french	🇫🇷	ethnic/national
GB	Europe > Nordic & North Atlantic	British	en	british	🇬🇧	ethnic/national
GE	Europe > Eastern & Caucasian	Georgian	ka, ru	georgian	🇬🇪	ethnic/national
GR	Europe > Southern & Mediterranean	Greek	el	greek	🇬🇷	ethnic/national
HU	Europe > Central & West	Hungarian	hu	hungarian	🇭🇺	ethnic/national
ID	Asia > Southeast	Indonesian	id	indonesian	🇮🇩	ethnic/national
IE	Europe > Nordic & North Atlantic	Irish	en	irish	🇮🇪	ethnic/national
IL	Middle Eastern & North African	Israeli	he, en, ar		🇮🇱	ethnic/national
IN	Asia > South	Indian	hi, en	indian	🇮🇳	ethnic/national
IN.SOUTH	Asia > South	Indian > South	ta, te, kn, ml, en	south_indian		subregional
IR	Middle Eastern & North African	Persian	fa	persian	🇮🇷	ethnic/national
IT	Europe > Southern & Mediterranean	Italian	it	italian	🇮🇹	ethnic/national
JM	Americas > Caribbean	Jamaican	en	jamaican	🇯🇲	ethnic/national
JP	Asia > East	Japanese	ja	japanese	🇯🇵	ethnic/national
JP.IZAKAYA	Asia > East	Japanese > Izakaya	ja			style
JP.RAMEN	Asia > East	Japanese > Ramen	ja	ramen	🍜	food
JP.SUSHI	Asia > East	Japanese > Sushi	ja	sushi	🍣	food
JP.TEPPANYAKI	Asia > East	Japanese > Teppanyaki	ja			style
KH	Asia > Southeast	Cambodian	km	cambodian	🇰🇭	ethnic/national
KRKP	Asia > East	Korean	ko	korean	🇰🇷🇰🇵	ethnic/national
KRKP.BBQ	Asia > East	Korean > BBQ	ko			food
LA	Asia > Southeast	Lao	lo	lao	🇱🇦	ethnic/national
LB	Middle Eastern & North African	Lebanese	ar	lebanese	🇱🇧	ethnic/national
LK	Asia > South	Sri Lankan	si, ta	sri_lankan	🇱🇰	ethnic/national
MA	Middle Eastern & North African	Moroccan	ar	moroccan	🇲🇦	ethnic/national
MENA.KEBAB	Middle Eastern & North African	Middle Eastern > Kebab	tr	kebab	🥙	food
MENA.MIDDLEEAST.OTHER	Middle Eastern & North African	Other (Middle Eastern)	ar, fa, he	middle_eastern		catchall
MENA.MIDDLEEAST.PAN	Middle Eastern & North African	Pan-Middle Eastern	ar, fa, he			panregional
MENA.NORTHAFRICA.OTHER	Middle Eastern & North African	Other (North African)	ar, fr			catchall
MM	Asia > Southeast	Burmese	my		🇲🇲	ethnic/national
MN	Asia > Other	Mongolian	mn	mongolian	🇲🇳	ethnic/national
MX	Americas > South & Central	Mexican	es	mexican	🇲🇽	ethnic/national
MY	Asia > Southeast	Malaysian	ms, zh	malaysian	🇲🇾	ethnic/national
NL	Europe > Central & West	Dutch	nl	dutch	🇳🇱	ethnic/national
NO	Europe > Nordic & North Atlantic	Norwegian	nb		🇳🇴	ethnic/national
NP	Asia > Other	Nepalese	ne, en, hi	nepalese	🇳🇵	ethnic/national
OCEA.PACIFICISLAND.OTHER	Oceanian	Other (Pacific Island)	en			catchall
OTHER	Other	Other	en			catchall
PE	Americas > South & Central	Peruvian	es	peruvian	🇵🇪	ethnic/national
PH	Asia > Southeast	Filipino	tl, en	filipino	🇵🇭	ethnic/national
PK	Asia > South	Pakistani	ur	pakistani	🇵🇰	ethnic/national
PL	Europe > Central & West	Polish	pl	polish	🇵🇱	ethnic/national
